titulo,artista,album,duracion,popularidad
Someone Like You (2018 Remaster),Queen,21 (2019),242,14
Shape of You (2022 Remaster),Jason Mraz,Night Visions (2016),242,1
Just Give Me a Reason (2023 Remaster),Queen,The Truth About Love (2020),242,17
Rockstar (2022 Remaster),Nickelback,A Night at the Opera (2024),273,18
Rockstar (2023 Remaster),Queen,21 (2021),267,3
Rockstar (2023 Remaster),Jason Mraz,21 (2015),258,19
Bohemian Rhapsody (2018 Remaster),Jason Mraz,The Truth About Love (2020),275,13
Believer (2018 Remaster),Queen,Night Visions (2020),261,18
Believer (2022 Remaster),Jason Mraz,A Night at the Opera (2022),196,6
Bohemian Rhapsody (2022 Remaster),The Beatles,Greatest Hits (2018),252,14
Fix You (2021 Remaster),Ed Sheeran,Night Visions (2021),239,10
Hey Jude (2023 Remaster),Nickelback,Greatest Hits (2019),203,4
Someone Like You (2024 Remaster),The Beatles,Greatest Hits (2016),185,5
Don't Stop Believin' (2023 Remaster),Queen,Abbey Road (2018),207,10
Don't Stop Believin' (2019 Remaster),Journey,Night Visions (2021),288,1
Shape of You (2019 Remaster),Adele,Abbey Road (2021),268,15
I'm Yours (2023 Remaster),P!nk,Divide (2015),261,10
Hey Jude (2022 Remaster),Coldplay,21 (2024),291,12
Hey Jude (2019 Remaster),The Beatles,The Truth About Love (2022),218,8
Hey Jude (2018 Remaster),Nickelback,We Sing. We Dance. We Steal Things (2019),181,1
Someone Like You (2018 Remaster),Nickelback,Divide (2015),264,3
Hey Jude (2018 Remaster),Imagine Dragons,We Sing. We Dance. We Steal Things (2023),247,16
Don't Stop Believin' (2019 Remaster),Ed Sheeran,All the Right Reasons (2020),251,5
Don't Stop Believin' (2023 Remaster),Ed Sheeran,Divide (2018),191,8
Fix You (2018 Remaster),Nickelback,Night Visions (2023),202,20
Rockstar (2018 Remaster),Journey,Night Visions (2016),201,14
Rockstar (2019 Remaster),Ed Sheeran,Divide (2017),282,10
Rockstar (2024 Remaster),Jason Mraz,X&Y (2022),202,6
Hey Jude (2024 Remaster),Coldplay,The Truth About Love (2024),230,8
Rockstar (2020 Remaster),Adele,Divide (2021),257,5
Fix You (2023 Remaster),Queen,Abbey Road (2023),221,15
Shape of You (2021 Remaster),Nickelback,All the Right Reasons (2015),258,14
I'm Yours (2022 Remaster),Queen,Greatest Hits (2018),281,19
Just Give Me a Reason (2020 Remaster),Coldplay,All the Right Reasons (2015),187,4
Believer (2024 Remaster),P!nk,21 (2023),261,9
Don't Stop Believin' (2021 Remaster),Coldplay,X&Y (2023),273,5
Bohemian Rhapsody (2023 Remaster),Journey,21 (2018),267,8
Someone Like You (2023 Remaster),Nickelback,Divide (2023),279,12
Shape of You (2021 Remaster),Queen,X&Y (2018),215,5
Hey Jude (2024 Remaster),Coldplay,All the Right Reasons (2023),287,12
Believer (2022 Remaster),P!nk,Night Visions (2023),244,16
I'm Yours (2021 Remaster),Nickelback,21 (2019),273,2
Hey Jude (2018 Remaster),Adele,The Truth About Love (2022),256,5
I'm Yours (2024 Remaster),Jason Mraz,Abbey Road (2018),298,4
Believer (2020 Remaster),Coldplay,A Night at the Opera (2022),282,20
Don't Stop Believin' (2018 Remaster),Queen,Divide (2019),218,11
Just Give Me a Reason (2023 Remaster),Jason Mraz,21 (2021),273,17
Rockstar (2018 Remaster),Jason Mraz,Night Visions (2021),241,5
Someone Like You (2024 Remaster),Nickelback,A Night at the Opera (2015),300,4
Believer (2021 Remaster),The Beatles,A Night at the Opera (2018),230,15
Don't Stop Believin' (2018 Remaster),Adele,All the Right Reasons (2023),287,15
I'm Yours (2021 Remaster),P!nk,Abbey Road (2021),193,8
Shape of You (2019 Remaster),Ed Sheeran,We Sing. We Dance. We Steal Things (2022),183,15
Just Give Me a Reason (2020 Remaster),Adele,Greatest Hits (2024),180,7
Just Give Me a Reason (2024 Remaster),Coldplay,Abbey Road (2015),208,13
Believer (2018 Remaster),Coldplay,Greatest Hits (2015),209,3
Rockstar (2021 Remaster),Ed Sheeran,A Night at the Opera (2019),213,9
Believer (2018 Remaster),The Beatles,Night Visions (2024),209,16
Rockstar (2019 Remaster),Jason Mraz,Abbey Road (2023),288,13
I'm Yours (2020 Remaster),Adele,X&Y (2020),289,2
Don't Stop Believin' (2018 Remaster),Imagine Dragons,Divide (2024),260,20
Fix You (2024 Remaster),Adele,Abbey Road (2024),230,16
Fix You (2022 Remaster),Queen,Night Visions (2016),195,8
Don't Stop Believin' (2024 Remaster),Nickelback,All the Right Reasons (2017),214,17
Shape of You (2019 Remaster),Jason Mraz,The Truth About Love (2021),262,1
Shape of You (2023 Remaster),P!nk,X&Y (2023),278,19
Just Give Me a Reason (2024 Remaster),Coldplay,21 (2020),226,4
Don't Stop Believin' (2022 Remaster),Adele,We Sing. We Dance. We Steal Things (2021),223,16
Don't Stop Believin' (2023 Remaster),Jason Mraz,All the Right Reasons (2023),260,16
Don't Stop Believin' (2021 Remaster),Ed Sheeran,We Sing. We Dance. We Steal Things (2018),291,3
Shape of You (2021 Remaster),Jason Mraz,All the Right Reasons (2015),205,1
Fix You (2020 Remaster),Ed Sheeran,Night Visions (2015),262,2
Just Give Me a Reason (2019 Remaster),Imagine Dragons,Abbey Road (2021),227,20
Rockstar (2024 Remaster),Imagine Dragons,21 (2023),273,10
Fix You (2018 Remaster),Jason Mraz,Abbey Road (2020),263,18
Believer (2021 Remaster),P!nk,Abbey Road (2015),224,7
Hey Jude (2019 Remaster),Jason Mraz,Divide (2017),245,12
Believer (2024 Remaster),Nickelback,A Night at the Opera (2019),211,7
Hey Jude (2018 Remaster),Journey,Divide (2021),245,8
Fix You (2019 Remaster),Imagine Dragons,Divide (2020),232,16
Don't Stop Believin' (2019 Remaster),The Beatles,We Sing. We Dance. We Steal Things (2020),248,4
Fix You (2018 Remaster),Jason Mraz,Greatest Hits (2017),193,15
Rockstar (2024 Remaster),Journey,X&Y (2016),192,19
Just Give Me a Reason (2023 Remaster),Imagine Dragons,21 (2017),264,1
Rockstar (2022 Remaster),Adele,Abbey Road (2019),192,18
Someone Like You (2018 Remaster),Imagine Dragons,Abbey Road (2021),212,16
Fix You (2024 Remaster),Ed Sheeran,Divide (2019),256,4
Hey Jude (2023 Remaster),Coldplay,Divide (2015),294,8
Bohemian Rhapsody (2024 Remaster),Adele,Divide (2022),222,6
Hey Jude (2018 Remaster),The Beatles,We Sing. We Dance. We Steal Things (2017),250,6
Rockstar (2023 Remaster),The Beatles,The Truth About Love (2019),281,7
Just Give Me a Reason (2024 Remaster),Queen,X&Y (2018),254,10
Hey Jude (2020 Remaster),Jason Mraz,Night Visions (2020),283,15
Believer (2019 Remaster),Imagine Dragons,21 (2024),237,16
Hey Jude (2024 Remaster),Ed Sheeran,X&Y (2021),292,18
Rockstar (2024 Remaster),Journey,A Night at the Opera (2016),214,3
Someone Like You (2019 Remaster),Nickelback,We Sing. We Dance. We Steal Things (2019),188,7
I'm Yours (2019 Remaster),Nickelback,Night Visions (2016),252,9
Bohemian Rhapsody (2024 Remaster),Imagine Dragons,We Sing. We Dance. We Steal Things (2017),233,14
Just Give Me a Reason (2021 Remaster),Coldplay,Divide (2015),217,14
Shape of You (2024 Remaster),Adele,X&Y (2021),252,18
Someone Like You (2022 Remaster),Ed Sheeran,Greatest Hits (2018),259,16
I'm Yours (2018 Remaster),The Beatles,Greatest Hits (2021),295,2
Hey Jude (2020 Remaster),Jason Mraz,The Truth About Love (2019),210,17
Just Give Me a Reason (2018 Remaster),P!nk,X&Y (2020),212,4
Someone Like You (2024 Remaster),Nickelback,Greatest Hits (2015),270,6
Hey Jude (2020 Remaster),Imagine Dragons,Greatest Hits (2015),261,7
Hey Jude (2022 Remaster),Imagine Dragons,Abbey Road (2019),279,19
I'm Yours (2018 Remaster),Jason Mraz,21 (2018),185,4
Don't Stop Believin' (2024 Remaster),Nickelback,X&Y (2015),230,13
Fix You (2019 Remaster),Nickelback,21 (2019),282,1
Shape of You (2019 Remaster),The Beatles,We Sing. We Dance. We Steal Things (2016),280,20
Don't Stop Believin' (2020 Remaster),Ed Sheeran,Night Visions (2016),184,12
Fix You (2021 Remaster),Journey,All the Right Reasons (2020),277,9
Someone Like You (2019 Remaster),Adele,Night Visions (2020),193,6
Hey Jude (2019 Remaster),Ed Sheeran,A Night at the Opera (2019),241,9
Bohemian Rhapsody (2018 Remaster),P!nk,Abbey Road (2020),286,1
Someone Like You (2024 Remaster),Journey,The Truth About Love (2018),212,4
I'm Yours (2018 Remaster),Journey,A Night at the Opera (2020),295,11
Rockstar (2020 Remaster),Queen,Divide (2022),235,7
Rockstar (2022 Remaster),P!nk,Greatest Hits (2018),208,17
Believer (2022 Remaster),P!nk,Greatest Hits (2022),265,14
Bohemian Rhapsody (2022 Remaster),The Beatles,The Truth About Love (2022),289,6
Don't Stop Believin' (2022 Remaster),Adele,All the Right Reasons (2023),276,1
I'm Yours (2020 Remaster),Coldplay,X&Y (2018),203,8
Rockstar (2022 Remaster),Nickelback,X&Y (2016),194,20
Someone Like You (2022 Remaster),Coldplay,21 (2023),201,13
Don't Stop Believin' (2018 Remaster),P!nk,X&Y (2021),280,2
Shape of You (2023 Remaster),Queen,We Sing. We Dance. We Steal Things (2020),260,12
Shape of You (2019 Remaster),Adele,21 (2020),254,18
Shape of You (2024 Remaster),P!nk,We Sing. We Dance. We Steal Things (2015),216,18
Someone Like You (2024 Remaster),Journey,21 (2017),274,19
Someone Like You (2018 Remaster),Queen,A Night at the Opera (2023),297,13
Shape of You (2023 Remaster),Queen,The Truth About Love (2020),199,6
Believer (2018 Remaster),Jason Mraz,21 (2015),197,1
Believer (2022 Remaster),P!nk,The Truth About Love (2023),184,5
Hey Jude (2024 Remaster),Jason Mraz,Abbey Road (2017),254,12
Rockstar (2023 Remaster),Nickelback,Night Visions (2015),257,3
Don't Stop Believin' (2023 Remaster),The Beatles,We Sing. We Dance. We Steal Things (2021),255,7
Rockstar (2018 Remaster),Nickelback,The Truth About Love (2021),278,2
Rockstar (2020 Remaster),Journey,X&Y (2024),267,10
Don't Stop Believin' (2024 Remaster),P!nk,Divide (2018),197,16
Believer (2022 Remaster),Nickelback,Abbey Road (2024),229,14
Shape of You (2019 Remaster),P!nk,X&Y (2022),252,20
Believer (2018 Remaster),Coldplay,A Night at the Opera (2022),246,7
Bohemian Rhapsody (2018 Remaster),Ed Sheeran,Greatest Hits (2016),197,19
I'm Yours (2019 Remaster),Imagine Dragons,X&Y (2016),199,15
Someone Like You (2023 Remaster),Adele,We Sing. We Dance. We Steal Things (2019),271,2
I'm Yours (2020 Remaster),Coldplay,Divide (2016),207,9
Fix You (2018 Remaster),Coldplay,Night Visions (2018),289,2
Fix You (2022 Remaster),P!nk,X&Y (2022),209,9
Fix You (2023 Remaster),Queen,Night Visions (2016),244,17
Believer (2020 Remaster),Journey,Greatest Hits (2020),243,1
Rockstar (2019 Remaster),P!nk,The Truth About Love (2019),243,9
Bohemian Rhapsody (2021 Remaster),Adele,All the Right Reasons (2016),227,20
Believer (2023 Remaster),Queen,Abbey Road (2021),221,16
Someone Like You (2024 Remaster),Adele,Abbey Road (2023),192,16
Shape of You (2023 Remaster),P!nk,A Night at the Opera (2019),290,17
Don't Stop Believin' (2018 Remaster),Jason Mraz,Night Visions (2015),229,5
Hey Jude (2019 Remaster),Ed Sheeran,All the Right Reasons (2015),202,7
Hey Jude (2023 Remaster),Queen,Divide (2022),221,10
Hey Jude (2020 Remaster),Nickelback,All the Right Reasons (2018),292,2
Just Give Me a Reason (2024 Remaster),Journey,All the Right Reasons (2022),294,17
Shape of You (2023 Remaster),P!nk,Divide (2015),196,1
Believer (2023 Remaster),Nickelback,21 (2015),210,3
I'm Yours (2020 Remaster),Journey,Divide (2020),189,20
Bohemian Rhapsody (2022 Remaster),Ed Sheeran,X&Y (2020),197,9
Just Give Me a Reason (2020 Remaster),P!nk,Abbey Road (2021),216,9
Someone Like You (2020 Remaster),Imagine Dragons,Night Visions (2017),182,17
Rockstar (2022 Remaster),The Beatles,21 (2017),262,2
Fix You (2024 Remaster),Jason Mraz,The Truth About Love (2017),231,18
Hey Jude (2023 Remaster),Imagine Dragons,All the Right Reasons (2019),196,6
Someone Like You (2022 Remaster),The Beatles,21 (2022),221,14
Rockstar (2022 Remaster),Queen,Divide (2020),284,8
Rockstar (2020 Remaster),Nickelback,Divide (2022),298,19
I'm Yours (2023 Remaster),The Beatles,The Truth About Love (2019),205,8
I'm Yours (2023 Remaster),Jason Mraz,We Sing. We Dance. We Steal Things (2023),204,12
I'm Yours (2022 Remaster),Jason Mraz,Divide (2019),278,14
Just Give Me a Reason (2022 Remaster),The Beatles,A Night at the Opera (2022),263,14
Rockstar (2022 Remaster),Coldplay,We Sing. We Dance. We Steal Things (2015),234,5
Rockstar (2023 Remaster),The Beatles,A Night at the Opera (2015),242,15
Someone Like You (2021 Remaster),Ed Sheeran,Abbey Road (2024),260,9
Shape of You (2021 Remaster),Queen,Divide (2016),242,20
Shape of You (2023 Remaster),Queen,Divide (2022),216,2
Just Give Me a Reason (2022 Remaster),Journey,X&Y (2016),258,14
I'm Yours (2024 Remaster),Adele,The Truth About Love (2020),200,3
Just Give Me a Reason (2023 Remaster),Journey,21 (2016),264,20
Believer (2019 Remaster),Jason Mraz,We Sing. We Dance. We Steal Things (2023),202,7
Just Give Me a Reason (2018 Remaster),P!nk,Greatest Hits (2023),187,8
Fix You (2022 Remaster),Imagine Dragons,Night Visions (2016),252,10
Just Give Me a Reason (2021 Remaster),The Beatles,The Truth About Love (2024),199,5
Hey Jude (2022 Remaster),Ed Sheeran,Greatest Hits (2022),207,12
Believer (2021 Remaster),P!nk,21 (2022),187,15
Someone Like You (2020 Remaster),P!nk,Abbey Road (2024),195,6
Bohemian Rhapsody (2022 Remaster),P!nk,Abbey Road (2017),200,14
Fix You (2024 Remaster),P!nk,All the Right Reasons (2016),262,19
Bohemian Rhapsody (2021 Remaster),P!nk,21 (2021),206,7
Hey Jude (2020 Remaster),Jason Mraz,Night Visions (2020),282,2
Bohemian Rhapsody (2018 Remaster),Nickelback,A Night at the Opera (2020),221,12
Someone Like You (2023 Remaster),Ed Sheeran,A Night at the Opera (2017),276,9
Fix You (2020 Remaster),Journey,A Night at the Opera (2019),300,12
Rockstar (2022 Remaster),Imagine Dragons,Night Visions (2022),199,13
Fix You (2018 Remaster),Coldplay,Divide (2016),230,12
Shape of You (2018 Remaster),The Beatles,We Sing. We Dance. We Steal Things (2024),276,6
I'm Yours (2024 Remaster),Coldplay,All the Right Reasons (2015),181,17
I'm Yours (2024 Remaster),Ed Sheeran,All the Right Reasons (2022),251,1
Hey Jude (2022 Remaster),Imagine Dragons,Divide (2015),255,14
Rockstar (2024 Remaster),Adele,21 (2019),200,20
Just Give Me a Reason (2020 Remaster),Jason Mraz,Divide (2024),286,12
Rockstar (2021 Remaster),Adele,The Truth About Love (2023),215,7
Hey Jude (2020 Remaster),Nickelback,21 (2018),230,10
Shape of You (2024 Remaster),P!nk,21 (2024),285,1
Rockstar (2023 Remaster),Journey,We Sing. We Dance. We Steal Things (2018),199,10
Fix You (2018 Remaster),Jason Mraz,We Sing. We Dance. We Steal Things (2020),218,2
Believer (2020 Remaster),Adele,The Truth About Love (2016),265,6
Rockstar (2022 Remaster),Coldplay,The Truth About Love (2018),245,20
Bohemian Rhapsody (2019 Remaster),Adele,Divide (2015),204,8
Shape of You (2019 Remaster),Ed Sheeran,Greatest Hits (2018),284,12
I'm Yours (2022 Remaster),Nickelback,The Truth About Love (2018),252,15
Shape of You (2021 Remaster),Imagine Dragons,21 (2021),295,19
Just Give Me a Reason (2021 Remaster),Queen,21 (2015),262,17
Just Give Me a Reason (2018 Remaster),Ed Sheeran,Divide (2024),280,20
Someone Like You (2018 Remaster),Queen,A Night at the Opera (2023),247,1
Bohemian Rhapsody (2018 Remaster),Nickelback,The Truth About Love (2023),189,5
Fix You (2024 Remaster),P!nk,All the Right Reasons (2021),182,8
Hey Jude (2020 Remaster),Nickelback,X&Y (2023),204,11
Believer (2019 Remaster),P!nk,21 (2021),279,14
Believer (2024 Remaster),The Beatles,Night Visions (2021),291,16
I'm Yours (2023 Remaster),Jason Mraz,Greatest Hits (2022),271,9
Just Give Me a Reason (2020 Remaster),Imagine Dragons,Abbey Road (2018),255,9
Believer (2023 Remaster),Nickelback,21 (2018),208,7
Bohemian Rhapsody (2022 Remaster),Ed Sheeran,We Sing. We Dance. We Steal Things (2024),254,9
Shape of You (2021 Remaster),Adele,The Truth About Love (2021),193,16
